Allocation API,,,,,,,,,,,,Deallocation APIs,,,,,,,,,,,
Call Path Length,Application,Source File Path,API Name,API Type,Argument Count,Ret Val,Arguments Categories,Argument Type,Return Type,,,Call Path Length,Application,Source File Path,API Name,API Type,Argument Count,Ret Val,Arguments Categories,Argument Type,Return Type,Argument Type,Return Type
0,openssl,crypto/mem_sec.c,sh_malloc,MA,1,OBJECT,AS,UINT,VOID*,,,0,openssl,crypto/mem_sec.c,sh_free,MD,1,N/A,OD,VOID*,N/A,VOID*,N/A
1,openssl,crypto/mem_sec.c,CRYPTO_secure_malloc,A,3,OBJECT,"AS, unused, unused","UINT, CHAR*, INT",VOID*,,,1,openssl,crypto/mem_sec.c,CRYPTO_secure_free,D,3,N/A,"OD, unused, unused","VOID*, CHAR*, INT",N/A,"VOID*, CHAR*, INT",N/A
1,openssl,crypto/mem_sec.c,CRYPTO_secure_zalloc,A,3,OBJECT,"AS, unused, unused","UINT, CHAR*, INT ",VOID*,,,1,openssl,crypto/mem_sec.c,CRYPTO_secure_clear_free,D,4,N/A,"OD, RD, unused, unused","VOID*, UINT, CHAR*, UINT",N/A,"VOID*, UINT, CHAR*, UINT",N/A
1,openssl,crypto/mem.c,CRYPTO_malloc,A,3,OBJECT,"AS, unused, unused","UINT, CHAR*, INT ",VOID*,,,1,openssl,crypto/mem.c,CRYPTO_free,D,3,N/A,"OD, unused, unused","VOID*, CHAR*, INT",N/A,"VOID*, CHAR*, INT",N/A
1,openssl,crypto/mem.c,CRYPTO_zalloc,A,3,OBJECT,"AS, unused, unused","UINT, CHAR*, INT ",VOID*,,,1,openssl,crypto/mem.c,CRYPTO_clear_free,D,4,N/A,"OD, RD, unused, unused","VOID*, INT, CHAR*, INT",N/A,"VOID*, INT, CHAR*, INT",N/A
1,openssl,crypto/mem.c,CRYPTO_realloc,RA,4,OBJECT,"IV, AS, unused, unused","VOID*, UINT, CHAR*, INT ",VOID*,,,2,openssl,engines/e_loader_attic.c,pem_free,D,3,N/A,"OD, RD, RD","VOID*, INT, INT",N/A,"VOID*, INT, INT",N/A
1,openssl,providers/fips/fipsprov.c,CRYPTO_clear_realloc,RA,5,OBJECT,"IV, old AS, AS, unused, unused","VOID*, UINT, UINT, CHAR*, INT ",VOID*,,,2,openssl,crypto/stack/stack.c,OPENSSL_sk_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/pem/pem_lib.c,pem_malloc,A,2,OBJECT,"RD, AS","INT, UINT",VOID*,,,3,openssl,crypto/stack/stack.c,OPENSSL_sk_pop_free,D,2,N/A,"OD, RD","STRUCT*, FUNCP",N/A,"STRUCT*, FUNCP",N/A
2,openssl,crypto/stack/stack.c,OPENSSL_sk_new_reserve,A,2,OBJECT,"IV, IV","FUNCP, INT",STRUCT*,,,2,openssl,crypto/bio/bio_lib.c,BIO_free,D,1,SUCCESS FLAG,OD,STRUCT*,INT,STRUCT*,INT
3,openssl,crypto/stack/stack.c,OPENSSL_sk_new_null,A,0,OBJECT,N/A,N/A,STRUCT*,,,3,openssl,crypto/bio/bio_lib.c,BIO_vfree,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/stack/stack.c,OPENSSL_sk_new,A,1,OBJECT,IV,FUNCP,STRUCT*,,,2,openssl,ssl/t1_lib.c,hmac_free,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
2,openssl,crypto/stack/stack.c,OPENSSL_sk_dup,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,2,openssl,crypto/bn/bn_lib.c,BN_GENCB_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/stack/stack.c,OPENSSL_sk_deep_copy,A,3,OBJECT,"IV, RD, RD","STRUCT*, FUNCP, FUNCP",STRUCT*,,,2,openssl,crypto/bn/bn_lib.c,bn_free_d,D,2,N/A,"OD, RD to choose free function (clear)","STRUCT*, INT",N/A,"STRUCT*, INT",N/A
3,openssl,crypto/bio/bio_lib.c,"BIO_new ",A,1,OBJECT,IV,FUNCP,STRUCT*,,,2,openssl,crypto/bn/bn_lib.c,BN_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/bio/bio_lib.c,BIO_new_ex,A,2,OBJECT,"IV, IV","STRUCT*, FUNCP",STRUCT*,,,2,openssl,crypto/bn/bn_lib.c,BN_clear_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,providers/implementations/macs/hmac_prov.c,hmac_new,A,1,OBJECT,IV,VOID*,VOID*,,,2,openssl,crypto/buffer/buffer.c,BUF_MEM_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,providers/implementations/macs/hmac_prov.c,hmac_dup,A,1,OBJECT,IV,VOID*,VOID*,,,4,openssl,crypto/evp/digest.c,evp_md_free,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
2,openssl,crypto/bn/bn_lib.c,BN_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,3,openssl,crypto/evp/digest.c,EVP_MD_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/bn/bn_lib.c,BN_secure_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/evp/digest.c,EVP_MD_CTX_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/bn/bn_lib.c,BN_GENCB_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/evp/evp_lib.c,evp_md_free_int,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/buffer/buffer.c,BUF_MEM_new_ex,A,1,OBJECT,IV,ULONG,STRUCT*,,,3,openssl,crypto/evp/evp_lib.c,EVP_MD_meth_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/buffer/buffer.c,"BUF_MEM_new ",A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/sparse_array.c,sa_free_node,D,1,N/A,OD,VOID**,N/A,VOID**,N/A
3,openssl,crypto/buffer/buffer.c,BUF_MEM_grow,RA,2,SIZE,"IV, AS","STRUCT*, UINT",INT,,,2,openssl,crypto/sparse_array.c,sa_free_leaf,D,3,N/A,"unused, OD, unused","UINT, VOID*, VOID*",N/A,"UINT, VOID*, VOID*",N/A
3,openssl,crypto/buffer/buffer.c,BUF_MEM_grow_clean,RA,2,SIZE,"IV, AS","STRUCT*, UINT",INT,,,2,openssl,crypto/sparse_array.c,ossl_sa_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/buffer/buffer.c,sec_alloc_realloc,RA,2,OBJECT,"IV, AS, unused, unused","STRUCT*, UINT",CHAR*,,,2,openssl,crypto/sparse_array.c,ossl_sa_free_leaves,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/digest.c,evp_md_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/evp/bio_enc.c,enc_free,D,1,SUCCESS FLAG,RD,STRUCT*,INT,STRUCT*,INT
3,openssl,crypto/evp/digest.c,evp_md_ctx_new_ex,A,4,OBJECT,"IV, IV, IV, IV","STRUCT*, STRUCT*, STRUCT*, CHAR*",STRUCT*,,,2,openssl,crypto/evp/bio_ok.c,ok_free,D,1,SUCCESS FLAG,RD,STRUCT*,INT,STRUCT*,INT
3,openssl,crypto/evp/digest.c,evp_md_from_algorithm,A,3,OBJECT,"IV, IV, IV","INT, STRUCT*, STRUCT*",VOID*,,,2,openssl,crypto/evp/evp_enc.c,EVP_CIPHER_CTX_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/digest.c,EVP_MD_CTX_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,4,openssl,crypto/evp/evp_enc.c,evp_cipher_free,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
3,openssl,crypto/evp/digest.c,EVP_MD_CTX_dup,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,2,openssl,crypto/evp/evp_enc.c,evp_cipher_free_int,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
4,openssl,crypto/evp/evp_lib.c,EVP_MD_meth_dup,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,3,openssl,crypto/evp/evp_enc.c,EVP_CIPHER_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/evp_lib.c,EVP_MD_meth_new,A,2,OBJECT,"IV, IV","INT, INT",STRUCT*,,,2,openssl,crypto/evp/mac_meth.c,evp_mac_free,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
2,openssl,crypto/sparse_array.c,ossl_sa_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,3,openssl,crypto/evp/mac_meth.c,EVP_MAC_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/sparse_array.c,alloc_node,A,0,OBJECT,N/A,N/A,VOID**,,,2,openssl,crypto/provider_core.c,ossl_provider_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/bio_enc.c,enc_new,A,1,SUCCESS FLAG,RD,STRUCT*,INT,,,3,openssl,crypto/provider_core.c,provider_deactivate_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/bio_ok.c,ok_new,A,1,SUCCESS FLAG,RD,STRUCT*,INT,,,2,openssl,crypto/provider_core.c,ossl_provider_child_cb_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/evp_enc.c,EVP_CIPHER_CTX_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/provider_core.c,infopair_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/evp_enc.c,EVP_CIPHER_CTX_dup,A,1,OBJECT,IV,PTR,STRUCT*,,,2,openssl,crypto/provider_core.c,provider_store_free,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
2,openssl,crypto/evp/evp_enc.c,evp_cipher_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/evp/digest.c,EVP_MD_CTX_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/mac_meth.c,evp_mac_new,A,0,OBJECT,N/A,N/A,VOID*,,,4,openssl,crypto/evp/digest.c,evp_md_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/mac_meth.c,evp_mac_from_algorithm,A,3,OBJECT,"IV, IV, IV","INT, STRUCT*, STRUCT*",VOID*,,,3,openssl,crypto/evp/digest.c,EVP_MD_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/provider_core.c,provider_new,A,3,OBJECT,"IV, IV, IV","CHAR*, FUNCP, STRUCT*",STRUCT*,,,2,openssl,crypto/evp/kem.c,EVP_KEM_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/provider_core.c,ossl_provider_new,A,4,OBJECT,"IV, IV, IV, unused","STRUCT*, CHAR*, FUNCP, INT",STRUCT*,,,3,openssl,crypto/evp/keymgmt_meth.c,EVP_KEYMGMT_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/provider_core.c,infopair_add,A,3,SUCCESS FLAG,"RD, IV, IV","STRUCT**, CHAR*, CHAR*",INT,,,4,openssl,crypto/evp/keymgmt_meth.c,evp_keymgmt_freedata,D,2,N/A,"RD, OD","STRUCT*, VOID*",N/A,"STRUCT*, VOID*",N/A
2,openssl,crypto/provider_core.c,infopair_copy,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,2,openssl,crypto/evp/p_lib.c,EVP_PKEY_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/provider_core.c,ossl_provider_add_parameter,A,3,SUCCESS FLAG,"RD, IV, IV","STRUCT*, CHAR*, CHAR*",INT,,,4,openssl,crypto/evp/p_lib.c,evp_pkey_free_it,D,1,N/A,RD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/provider_core.c,ossl_provider_info_add_parameter,A,3,SUCCESS FLAG,"RD, IV, IV","STRUCT*, CHAR*, CHAR*",INT,,,2,openssl,crypto/evp/p_lib.c,evp_pkey_free_legacy,D,1,N/A,RD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/provider_core.c,provider_store_new,A,1,OBJECT,IV,STRUCT*,VOID*,,,2,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_meth_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/digest.c,EVP_MD_CTX_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_CTX_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/digest.c,EVP_MD_CTX_dup,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,3,openssl,crypto/evp/pmeth_lib.c,evp_pkey_ctx_free_old_ops,D,1,N/A,RD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/digest.c,evp_md_ctx_new_ex,A,4,OBJECT,"IV, IV, IV, IV","STRUCT*, STRUCT*, STRUCT*, CHAR*",STRUCT*,,,2,openssl,crypto/evp/signature.c,EVP_SIGNATURE_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/digest.c,evp_md_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,2,openssl,crypto/evp/exchange.c,EVP_KEYEXCH_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/digest.c,evp_md_from_algorithm,A,3,OBJECT,"IV, IV, IV","INT, STRUCT*, STRUCT*",VOID*,,,2,openssl,crypto/evp/asymcipher.c,EVP_ASYM_CIPHER_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/kem.c,evp_kem_new,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,2,openssl,providers/implementations/rands/drbg.c,ossl_drbg_clear_seed,D,3,N/A,"unused, OD, RD","VOID*, CHAR*, UINT",N/A,"VOID*, CHAR*, UINT",N/A
3,openssl,crypto/evp/kem.c,evp_kem_from_algorithm,A,3,OBJECT,"IV, IV, IV","INT, STRUCT*, STRUCT*",VOID*,,,2,openssl,providers/implementations/rands/crngt.c,ossl_crngt_cleanup_entropy,D,3,N/A,"unused, OD, RD","VOID*, CHAR*, UINT",N/A,"VOID*, CHAR*, UINT",N/A
2,openssl,crypto/evp/keymgmt_meth.c,keymgmt_new,A,0,OBJECT,N/A,N/A,VOID*,,,2,openssl,providers/implementations/rands/seed_src.c,seed_clear_seed,D,3,N/A,"unused, OD, RD","VOID*, CHAR*, UINT",N/A,"VOID*, CHAR*, UINT",N/A
3,openssl,crypto/evp/keymgmt_meth.c,keymgmt_from_algorithm,A,3,OBJECT,"IV, IV, IV","INT, STRUCT*, STRUCT*",VOID*,,,0,cpython,Objects/obmalloc.c,pymalloc_free,MD,2,SUCCESS FLAG,"OD, RD (unused)","VOID*, VOID*",INT,"VOID*, VOID*",INT
5,openssl,crypto/evp/keymgmt_meth.c,evp_keymgmt_newdata,A,1,OBJECT,RD,STRUCT*,VOID*,,,0,cpython,Modules/gcmodule.c,PyObject_GC_Del,MD,1,N/A,"OD ",VOID*,N/A,VOID*,N/A
2,openssl,crypto/evp/p_lib.c,EVP_PKEY_new,A,0,OBJECT,N/A,N/A,STRUCT*,,,1,cpython,Objects/obmalloc.c,_PyMem_RawFree,D,2,N/A,"OD, RD","VOID*, VOID*",N/A,"VOID*, VOID*",N/A
3,openssl,crypto/evp/p_lib.c,EVP_PKEY_dup,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,2,cpython,Objects/obmalloc.c,PyMem_RawFree,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
3,openssl,crypto/evp/p_lib.c,new_raw_key_int,A,8,OBJECT,"IV, IV, IV, IV, IV, IV, IV, IV","STRUCT*, CHAR*, CHAR*, INT, STRUCT*, CHAR*, UINT, INT",STRUCT*,,,4,cpython,Objects/obmalloc.c,PyMem_Free,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
4,openssl,crypto/evp/p_lib.c,EVP_PKEY_new_raw_private_key_ex,A,5,OBJECT,"IV, IV, IV, IV, IV","STRUCT*, CHAR*, CHAR*, CHAR*, UINT",STRUCT*,,,1,cpython,Objects/obmalloc.c,_PyObject_ArenaFree,D,3,N/A,"OD, (unused), (unused)","VOID*, VOID*, INT",N/A,"VOID*, VOID*, INT",N/A
4,openssl,crypto/evp/p_lib.c,EVP_PKEY_new_raw_private_key,A,4,OBJECT,"IV, IV, IV, IV","INT, STRUCT*, CHAR*, INT",STRUCT*,,,3,cpython,Objects/obmalloc.c,_PyObject_Free,D,2,N/A,"OD, RD","VOID*, VOID*",N/A,"VOID*, VOID*",N/A
4,openssl,crypto/evp/p_lib.c,EVP_PKEY_new_raw_public_key_ex,A,5,OBJECT,"IV, IV, IV, IV, IV","STRUCT*, CHAR*, CHAR*, CHAR*, UINT",STRUCT*,,,4,cpython,Objects/obmalloc.c,PyObject_Free,D,1,N/A,"OD ",VOID*,N/A,VOID*,N/A
4,openssl,crypto/evp/p_lib.c,EVP_PKEY_new_raw_public_key,A,4,OBJECT,"IV, IV, IV, IV","INT, STRUCT*, CHAR*, UINT",STRUCT*,,,2,cpython,Objects/obmalloc.c,_PyMem_DebugRawFree,D,2,N/A,"OD, RD","VOID*, VOID*",N/A,"VOID*, VOID*",N/A
3,openssl,crypto/evp/pmeth_gn.c,EVP_PKEY_fromdata,A,4,FLAG,"RD, RD, IV, IV","STRUCT*, STRUCT**, INT, STRUCT*",INT,,,3,cpython,Objects/obmalloc.c,_PyMem_DebugFree,D,2,N/A,"OD, RD","VOID*, VOID*",N/A,"VOID*, VOID*",N/A
3,openssl,crypto/evp/pmeth_gn.c,EVP_PKEY_generate,A,2,FLAG,"RD, RD","STRUCT*, STRUCT**",INT,,,1,cpython,Objects/object.c,Py_DecRef,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
4,openssl,crypto/evp/pmeth_gn.c,EVP_PKEY_paramgen,A,2,FLAG,"RD, RD","STRUCT*, STRUCT**",INT,,,1,cpython,Objects/object.c,_Py_DecRef,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
4,openssl,crypto/evp/pmeth_gn.c,EVP_PKEY_keygen,A,2,FLAG,"RD, RD","STRUCT*, STRUCT**",INT,,,1,cpython,Objects/object.c,_Py_Dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
5,openssl,crypto/evp/pmeth_gn.c,EVP_PKEY_new_mac_key,A,4,OBJECT,"IV, IV, IV, IV","INT, STRUCT*, CHAR*, INT",STRUCT*,,,0,cpython,Objects/object.c,Py_DECREF,MD,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_meth_new,A,2,OBJECT,"IV, IV","INT, INT",STRUCT*,,,1,cpython,Objects/unionobject.c,unionobject_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,apps/speed.c,int_ctx_new,A,6,OBJECT,"IV, IV, IV, IV, IV, IV","STRUCT*, STRUCT*, STRUCT*, CHAR*, CHAR*, INT",STRUCT*,,,5,cpython,Parser/tokenizer.c,error_ret,D?,1,NULL,OD,STRUCT*,CHAR*,STRUCT*,CHAR*
3,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_CTX_new_from_name,A,3,OBJECT,"IV, IV, IV","STRUCT*, CHAR*, CHAR*",STRUCT*,,,5,cpython,Parser/tokenizer.c,_PyTokenizer_Free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_CTX_new_from_pkey,A,3,OBJECT,"IV, IV, IV","STRUCT*, STRUCT**, CHAR*",STRUCT*,,,1,cpython,Objects/memoryobject.c,mbuf_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_CTX_new,A,2,OBJECT,"IV, IV","STRUCT*, STRUCT*",STRUCT*,,,5,cpython,Objects/memoryobject.c,unpacker_free,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
3,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_CTX_new_id,A,2,OBJECT,"IV, IV","INT, STRUCT*",STRUCT*,,,1,cpython,Objects/memoryobject.c,memory_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,crypto/evp/pmeth_lib.c,EVP_PKEY_CTX_dup,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,5,cpython,Objects/abstract.c,_Py_FreeCharPArray,D,1,N/A,OD,CHAR*,N/A,CHAR*,N/A
2,openssl,providers/implementations/rands/drbg.c,ossl_drbg_get_seed,A,8,SIZE,"IV, RD, AS, AS, AS, IV, unused, unused","VOID*, CHAR*, INT, UINT, UINT, INT, CHAR*, UINT",UINT,,,0,cpython,Objects/dictobject.c,_PyDict_ClearFreeList,MD,1,N/A,RD,STRUCT*,N/A,STRUCT*,N/A
2,openssl,providers/implementations/rands/seed_src.c,seed_get_seed,A,8,SIZE,"IV, RD, AS, AS, AS, IV, unused, unused","VOID*, CHAR*, INT, UINT, UINT, INT, CHAR*, UINT",UINT,,,0,cpython,Objects/dictobject.c,dict_dealloc,MD,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
0,cpython,Objects/obmalloc.c,allocate_from_newpool,MA,1,OBJECT,AS,INT,VOID*,,,0,cpython,Objects/dictobject.c,free_keys_object,MD,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
0,cpython,Objects/obmalloc.c,pymalloc_alloc,MA,2,OBJECT,"unused, AS","VOID*, INT",VOID*,,,1,cpython,Objects/dictobject.c,dictview_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
0,cpython,Objects/obmalloc.c,pymalloc_realloc,MRA,4,SUCCESS FLAG,"AS, IV, RD, RD","VOID*, VOID**, VOID*, UINT",INT,,,1,cpython,Objects/dictobject.c,dictiter_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
0,cpython,Modules/gcmodule.c,gc_alloc,MA,2,OBJECT,"AS, AS","UINT, UINT",STRUCT*,,,5,cpython,Objects/bytearrayobject.c,bytearray_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
1,cpython,Modules/gcmodule.c,_PyObject_GC_New,A,1,OBJECT,IV,STRUCT*,STRUCT*,,,1,cpython,Objects/bytearrayobject.c,bytearrayiter_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
1,cpython,Modules/gcmodule.c,_PyObject_GC_NewVar,A,2,OBJECT,"IV, AS","STRUCT*, INT",STRUCT*,,,1,cpython,Objects/bytesobject.c,striter_dealloc,D,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
5,cpython,Modules/gcmodule.c,_PyObject_GC_Resize,RA,2,OBJECT,"IV, AS","PTR, INT",STRUCT*,,,0,cpython,Python/pyarena.c,_PyArena_Free,MD,1,N/A,OD,VOID*,N/A,VOID*,N/A
1,cpython,Objects/obmalloc.c,_PyMem_RawMalloc,A,2,OBJECT,"AS, RD","INT, VOID*",VOID*,,,0,cpython,Python/pyarena.c,block_free,MD,1,N/A,OD,STRUCT*,N/A,STRUCT*,N/A
1,cpython,Objects/obmalloc.c,_PyMem_RawCalloc,A,3,OBJECT,"AS, AS, RD","INT, INT, VOID*",VOID*,,,1,redis,src/zmalloc.c,zfree,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
1,cpython,Objects/obmalloc.c,_PyMem_RawRealloc,RA,3,OBJECT,"AS, IV, RD","INT, VOID*, VOID*",VOID*,,,1,redis,src/zmalloc.c,zfree_no_tcache,D,1,N/A,OD,VOID*,N/A,VOID*,N/A
