repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
linux,145319,46490,C,https://github.com/torvalds/linux,torvalds,0,2023-01-28T08:32:31Z,Linux kernel source tree
scrcpy,75879,7990,C,https://github.com/Genymobile/scrcpy,Genymobile,1195,2023-01-28T09:26:27Z,Display and control your Android device
netdata,61767,5433,C,https://github.com/netdata/netdata,netdata,225,2023-01-28T15:38:24Z,"Real-time performance monitoring, done right! https://www.netdata.cloud"
cpython,50424,25672,C,https://github.com/python/cpython,python,8171,2023-02-03T01:14:23Z,The Python programming language
obs-studio,45153,6581,C,https://github.com/obsproject/obs-studio,obsproject,419,2023-01-28T18:39:00Z,OBS Studio - Free and open source software for live streaming and screen recording
git,45032,24601,C,https://github.com/git/git,git,0,2023-01-28T07:18:38Z,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
Ventoy,44607,3180,C,https://github.com/ventoy/Ventoy,ventoy,369,2023-01-27T19:08:07Z,A new bootable USB solution.
php-src,34920,7412,C,https://github.com/php/php-src,php,315,2023-01-28T18:02:03Z,The PHP Interpreter
FFmpeg,33793,10496,C,https://github.com/FFmpeg/FFmpeg,FFmpeg,0,2023-01-28T18:35:04Z,Mirror of https://git.ffmpeg.org/ffmpeg.git
wrk,33722,2781,C,https://github.com/wg/wrk,wg,119,2023-01-19T00:59:31Z,Modern HTTP benchmarking tool
ijkplayer,31054,7921,C,https://github.com/bilibili/ijkplayer,bilibili,2737,2022-12-23T14:16:42Z,"Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support."
curl,28297,5552,C,https://github.com/curl/curl,curl,50,2023-01-28T18:16:08Z,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
tmux,27539,1844,C,https://github.com/tmux/tmux,tmux,16,2023-01-23T12:02:07Z,tmux source code
lede,24606,18588,C,https://github.com/coolsnowwolf/lede,coolsnowwolf,486,2023-01-28T13:54:38Z,Lean's LEDE source
the_silver_searcher,24555,1373,C,https://github.com/ggreer/the_silver_searcher,ggreer,410,2023-01-16T06:46:11Z,"A code-searching tool similar to ack, but faster."
os-tutorial,24431,3042,C,https://github.com/cfenollosa/os-tutorial,cfenollosa,63,2022-12-04T15:13:22Z,How to create an OS from scratch
jq,24106,1391,C,https://github.com/stedolan/jq,stedolan,665,2023-01-15T00:21:17Z,Command-line JSON processor
darknet,23765,20952,C,https://github.com/pjreddie/darknet,pjreddie,1777,2022-11-04T13:27:54Z,Convolutional Neural Networks
emscripten,23226,2982,C,https://github.com/emscripten-core/emscripten,emscripten-core,1201,2023-01-28T17:00:09Z,Emscripten: An LLVM-to-WebAssembly Compiler
rufus,21517,2188,C,https://github.com/pbatard/rufus,pbatard,13,2023-01-27T17:23:20Z,The Reliable USB Formatting Utility
mpv,21292,2530,C,https://github.com/mpv-player/mpv,mpv-player,804,2023-01-28T18:13:14Z,🎥 Command line video player
stb,20944,7297,C,https://github.com/nothings/stb,nothings,98,2023-01-23T08:49:11Z,stb single-file public domain libraries for C/C++
libuv,20785,3298,C,https://github.com/libuv/libuv,libuv,106,2023-01-26T21:10:32Z,Cross-platform asynchronous I/O
The-Art-Of-Programming-By-July,20690,7179,C,https://github.com/julycoding/The-Art-Of-Programming-By-July,julycoding,47,2023-01-07T06:23:00Z,本项目曾冲到全球第一，干货集锦见本页面最底部，另完整精致的纸质版《编程之法：面试和算法心得》已在京东/当当上销售
openssl,20686,8810,C,https://github.com/openssl/openssl,openssl,1826,2023-01-28T06:47:59Z,TLS/SSL and crypto library
masscan,20497,2854,C,https://github.com/robertdavidgraham/masscan,robertdavidgraham,336,2023-01-11T19:10:16Z,"TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes."
TDengine,20496,4597,C,https://github.com/taosdata/TDengine,taosdata,800,2023-01-28T10:51:30Z,"TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
How-to-Make-a-Computer-Operating-System,20150,3398,C,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse,44,2021-12-16T09:10:55Z,How to Make a Computer Operating System in C++
zstd,19380,1839,C,https://github.com/facebook/zstd,facebook,89,2023-01-28T17:14:49Z,Zstandard - Fast real-time compression algorithm
Tasmota,19119,4276,C,https://github.com/arendst/Tasmota,arendst,10,2023-01-28T18:37:04Z,"Alternative firmware for ESP8266 with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at"
HarmonyOS,18693,3328,C,https://github.com/Awesome-HarmonyOS/HarmonyOS,Awesome-HarmonyOS,0,2022-07-07T01:24:35Z,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。
nginx,17885,6148,C,https://github.com/nginx/nginx,nginx,0,2023-01-24T11:17:31Z,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html"
